"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 02 16:08:18 EET 2024","Thu May 02 16:08:20 EET 2024","2300","Default Suite","reqresIn","Testcases.ResourcesTests","Testcases.ResourcesTests","CheckIfGetAllResourcesInPageOne","CheckIfGetAllResourcesInPageOne","this test for check if all rescoures of page one is found"
"passed","Thu May 02 16:35:14 EET 2024","Thu May 02 16:35:16 EET 2024","2481","All Test Suite","C:/Users/abdelrhman.amin/IdeaProjects/reqresIn/src/test/java/Testcases/UserTests.java","Testcases.UserTests","Testcases.UserTests","createUserWithValidData","createUserWithValidData","thus test for create user using valid data"
"passed","Thu May 02 15:48:14 EET 2024","Thu May 02 15:48:17 EET 2024","2172","Default Suite","reqresIn","Testcases.ResourcesTests","Testcases.ResourcesTests","CheckIfGetAllResources","CheckIfGetAllResources","this test for check if all rescoures of page one is found"
"passed","Thu May 02 16:33:18 EET 2024","Thu May 02 16:33:18 EET 2024","322","All Test Suite","C:/Users/abdelrhman.amin/IdeaProjects/reqresIn/src/test/java/Testcases/UserTests.java","Testcases.ResourcesTests","Testcases.ResourcesTests","checkResultOfInvalidId","checkResultOfInvalidId","this test for checking of empty list when search by invalid id "
"passed","Thu May 02 16:08:20 EET 2024","Thu May 02 16:08:21 EET 2024","399","Default Suite","reqresIn","Testcases.ResourcesTests","Testcases.ResourcesTests","CheckIfGetAllResourcesInPageTwo","CheckIfGetAllResourcesInPageTwo","this test for check if all rescoures of page Two is found"
"passed","Thu May 02 16:33:17 EET 2024","Thu May 02 16:33:17 EET 2024","323","All Test Suite","C:/Users/abdelrhman.amin/IdeaProjects/reqresIn/src/test/java/Testcases/UserTests.java","Testcases.ResourcesTests","Testcases.ResourcesTests","checkIfGetAllResourcesInPageTwo","checkIfGetAllResourcesInPageTwo","this test for check if all rescoures of page Two is found"
"passed","Thu May 02 16:33:17 EET 2024","Thu May 02 16:33:18 EET 2024","330","All Test Suite","C:/Users/abdelrhman.amin/IdeaProjects/reqresIn/src/test/java/Testcases/UserTests.java","Testcases.ResourcesTests","Testcases.ResourcesTests","checkIfGetResourceById","checkIfGetResourceById","this test for get resource By Id"
"passed","Thu May 02 16:35:16 EET 2024","Thu May 02 16:35:17 EET 2024","361","All Test Suite","C:/Users/abdelrhman.amin/IdeaProjects/reqresIn/src/test/java/Testcases/UserTests.java","Testcases.UserTests","Testcases.UserTests","updateUserWithValidData","updateUserWithValidData","this test for check if value updated or not"
"passed","Thu May 02 16:33:17 EET 2024","Thu May 02 16:33:17 EET 2024","360","All Test Suite","C:/Users/abdelrhman.amin/IdeaProjects/reqresIn/src/test/java/Testcases/UserTests.java","Testcases.ResourcesTests","Testcases.ResourcesTests","checkIfGetAllResourcesInPageOne","checkIfGetAllResourcesInPageOne","this test for check if all rescoures of page one is found"
"passed","Thu May 02 16:35:17 EET 2024","Thu May 02 16:35:17 EET 2024","323","All Test Suite","C:/Users/abdelrhman.amin/IdeaProjects/reqresIn/src/test/java/Testcases/UserTests.java","Testcases.UserTests","Testcases.UserTests","deleteUser","deleteUser","this test for delete user and return status code 204"
